TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,46814,35012,74.7895

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,TODOS,CABAL,VIVA,SEMILLA,VOS,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9302,"Sololá",7,"Nahualá",5,1137,380,106,8,5,157,0,0,0,0,2,278,11,3,292,0,292,--,380,88,278,292,292,Algún campo sin dato,1,f0041f81c7c09a01caaffd66aef7a7aa3b58c2879581855e45624bad7a049f16,26/06/2023 00:16:09,ESCANER
9303,"Sololá",7,"Nahualá",5,1138,380,131,4,0,114,1,0,0,0,1,251,2,1,254,0,254,--,380,126,251,254,254,Algún campo sin dato,1,7bc7748e4325724dd378aa2fc88a0819089d7919ba4239faca51155cfc2259a8,25/06/2023 22:52:35,ESCANER
9304,"Sololá",7,"Nahualá",5,1138,380,130,9,1,117,1,0,0,1,2,261,5,5,271,--,--,--,380,109,261,271,271,Algún campo sin dato,1,311624477591a710b4f792e645fa7cca78a4d0e974f1a719e4b60080035c748e,25/06/2023 21:52:04,ESCANER
9305,"Sololá",7,"Nahualá",5,1138,380,139,6,1,97,0,0,0,0,1,244,12,4,260,--,--,--,380,120,244,260,260,Algún campo sin dato,1,502cd4ab7dfef46a44e86979b8ef50f12f1eddec1bf3d92b27fad87b2b85639b,25/06/2023 22:32:25,ESCANER
9306,"Sololá",7,"Nahualá",5,1138,380,130,3,3,116,1,0,2,0,0,255,15,4,274,0,274,1,380,106,255,274,274,,1,16cb819ea78996da566f34ac929674e217560aa4a69e6f39677333731b61996e,26/06/2023 01:19:59,ESCANER
9307,"Sololá",7,"Nahualá",5,1138,380,144,1,1,106,6,0,0,0,2,260,11,10,281,0,281,--,380,99,260,281,281,Algún campo sin dato,1,39a51f16d10f57319569c8e38e6650c0cdd83a97e2ae7961aa25284ff9e23765,25/06/2023 22:35:47,ESCANER
9308,"Sololá",7,"Nahualá",5,1138,380,168,3,2,91,3,1,0,0,0,268,7,10,285,0,285,--,377,92,268,285,285,Algún campo sin dato,1,5d50f4e1957f7d041f0ccc0d52971682c759d9728241a26454a8573ae8931dfc,25/06/2023 22:58:35,ESCANER
9309,"Sololá",7,"Nahualá",5,1138,380,124,3,2,99,0,0,0,0,2,230,9,2,241,0,241,--,380,139,230,241,241,Algún campo sin dato,1,386ac5a88e7acc3eed72867d61b25c62a06fb32c06b775fa643217e5822e7516,26/06/2023 00:07:46,ESCANER
9310,"Sololá",7,"Nahualá",5,1139,380,130,1,6,114,2,0,0,0,0,253,2,0,255,0,255,--,280,125,253,255,255,Algún campo sin dato,1,9f9454b55e596a1fc04aef0be439963ce69510ae4b5741af61e2e19e1d4a63a7,26/06/2023 00:04:34,ESCANER
9311,"Sololá",7,"Nahualá",5,1139,380,149,2,0,124,1,0,1,0,0,277,5,1,283,0,283,--,380,97,277,283,283,Algún campo sin dato,1,6b2fa8bf0690f17ec88d4a46fb1ebbf3d705fe9c416cacb37771f6e0068039af,25/06/2023 22:57:34,ESCANER
