TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
138,138,100.0000,138,100.0000,0,52409,37118,70.8237

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,SUD,U R N G - MAIZ,TICC,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9162,"Sololá",7,"Sololá",1,1117,228,41,77,38,4,160,2,0,162,0,162,--,228,66,160,162,162,Algún campo sin dato,1,9dc5bf43e7a4e9bc407f5916228afe90ab54b8c8ea68a6d397ad365bc629a3af,25/06/2023 22:16:28,ESCANER
9163,"Sololá",7,"Sololá",1,1117,227,41,67,45,4,157,1,0,158,0,158,--,224,66,157,158,158,Algún campo sin dato,1,20c6d4cd9ebfcf3dcf7a204eb8b536f89ad6b9fe902550793ecba90f6c11d3f6,25/06/2023 23:44:16,ESCANER
9164,"Sololá",7,"Sololá",1,1118,380,101,84,64,5,254,5,7,266,0,266,--,380,114,254,266,266,Algún campo sin dato,1,33b88ed18f07121e095064ea70b84246ccee944775669c2f04d968b7b26bb7c3,26/06/2023 00:06:33,ESCANER
9165,"Sololá",7,"Sololá",1,1118,380,60,126,74,3,263,14,5,282,0,282,--,380,98,263,282,282,Algún campo sin dato,1,7a6552ed79eab8334748e1f6c3f7de82366e40951b1455817ae171f74a8d3dc4,25/06/2023 23:42:01,ESCANER
9166,"Sololá",7,"Sololá",1,1118,380,48,118,89,8,263,11,1,275,0,275,--,380,105,263,275,275,Algún campo sin dato,1,c7ae0499770f9c4f799b6ac11e177364d1888b81b502caa65b9bd891448a1bde,26/06/2023 00:45:05,ESCANER
9167,"Sololá",7,"Sololá",1,1118,380,56,80,129,10,275,20,4,299,0,299,--,380,81,275,299,299,Algún campo sin dato,1,1163cb434d4c8a4f9d361ee5d525b54bd9a9062a1f76fe13e996568f140e4ba7,26/06/2023 00:41:48,ESCANER
9168,"Sololá",7,"Sololá",1,1118,380,31,74,122,10,237,11,3,251,0,251,--,380,129,237,251,251,Algún campo sin dato,1,38be1405d715e70e62b90f6a7407119aeb96ebdb4614caab66b323af79690b29,26/06/2023 00:26:48,ESCANER
9169,"Sololá",7,"Sololá",1,1118,380,30,90,105,15,240,12,4,256,0,256,--,380,124,240,256,256,Algún campo sin dato,1,6f528b77387ac3274e44629098480c003b159870303e169dea7680a37c9b596f,25/06/2023 22:48:07,ESCANER
9170,"Sololá",7,"Sololá",1,1118,380,66,101,89,5,261,8,3,272,0,272,--,380,108,261,272,272,Algún campo sin dato,1,c85fd4736837cbeb9e50208ca8972856c5bf19560677e2c02af205c0950af9ea,25/06/2023 23:34:04,ESCANER
9171,"Sololá",7,"Sololá",1,1118,380,60,78,67,3,208,6,2,216,0,216,--,377,161,208,216,216,Algún campo sin dato,1,ce7de2506247f53e57ed031850073735c8968318d417c7e662b4fc3c128b57fc,26/06/2023 00:03:13,ESCANER
