TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
108,108,100.0000,108,100.0000,0,40974,22564,55.0690

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,CCER-19PAZ,VALOR UNIONISTA,VIVA,CAMBIO,UNE,BIEN,SEMILLA,CABAL,P A N,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21951,"Zacapa",19,"Zacapa",1,3398,400,34,113,2,1,1,6,1,3,10,0,204,3,0,204,0,204,0,400,196,171,174,174,Sumas Asentadas sin cuadrar,1,8b4ab7c173fa1a89472047706d4f928a7136985ee9d6822b9b5e04fefb5a7f8f,25/06/2023 23:18:36,ESCANER
21952,"Zacapa",19,"Zacapa",1,3398,361,30,83,5,3,2,2,1,10,34,0,170,3,0,173,0,173,0,361,188,170,173,173,,1,82bb3176e7688a75bbb0d6c02021ca9b81242e6349cb73b83b84a6cac5e943c1,25/06/2023 23:12:20,ESCANER
21953,"Zacapa",19,"Zacapa",1,3398,361,25,70,3,1,2,2,4,5,19,0,131,5,1,137,0,137,0,361,224,131,137,137,,1,fab38ad8523787024584fe1cee07cc94b6d2690e40b85e508f44d682373df6b7,25/06/2023 23:43:50,ESCANER
21954,"Zacapa",19,"Zacapa",1,3399,260,7,64,17,6,5,4,1,11,46,0,161,3,1,165,0,165,0,260,95,161,165,165,,1,9d94506eae32584dace9269f38a30337acdbbb2dc052c8b81545e0d99ba65e01,25/06/2023 21:50:21,ESCANER
21955,"Zacapa",19,"Zacapa",1,3400,380,6,119,1,33,2,5,1,1,36,0,204,16,4,224,0,224,0,380,156,204,224,224,,1,ee699706c1e0af6bfb18ec0f1c9a586c9e09004adf9716b12cdcf00a428193a9,25/06/2023 23:50:00,ESCANER
21956,"Zacapa",19,"Zacapa",1,3400,380,3,162,2,28,0,2,2,5,34,0,238,20,6,264,0,0,0,380,116,238,264,264,,1,ab4f8c24a5911aa97ab544b13ba471dd3bf8fe020a85b70b67d14aaf40ef2fe7,26/06/2023 02:42:24,ESCANER
21957,"Zacapa",19,"Zacapa",1,3400,380,2,127,1,16,0,6,2,3,41,0,198,13,1,212,0,212,0,380,168,198,212,212,,1,67eec16a1a0ed5d285c980d986ec58da63ef34471069d4d1a05dd8c44231ea43,25/06/2023 23:58:13,ESCANER
21958,"Zacapa",19,"Zacapa",1,3400,380,1,128,1,17,4,4,1,1,21,1,179,21,4,204,0,204,--,380,176,179,204,204,Algún campo sin dato,1,c1800175c20cbf37e0f760a0230a812186207a932137394495ccecbbddd1dfac,26/06/2023 02:29:04,ESCANER
21959,"Zacapa",19,"Zacapa",1,3400,308,6,105,1,20,0,2,2,3,29,0,168,13,1,182,0,182,0,308,126,168,182,182,,1,8f52696e227a53e8229e969ab57f2c350a73b13e806a815727ac18107d0b216a,25/06/2023 23:05:14,ESCANER
21960,"Zacapa",19,"Zacapa",1,3400,307,5,90,1,4,1,2,0,5,21,0,129,13,2,144,0,144,0,307,163,129,144,144,,1,e8cb743ebb4505e0b57cacd960cb44ec114ba7cb0e39e18249656f38d5633658,25/06/2023 23:15:17,ESCANER
