TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
126,126,100.0000,126,100.0000,0,45765,21289,46.5180

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,U R N G - MAIZ,AZUL,VAMOS,TODOS,CABAL,VALOR,UNIONISTA,VIVA,CAMBIO,UR,PPN,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15039,"Huehuetenango",13,"Chiantla",2,2158,380,52,3,9,81,12,6,17,2,5,1,2,1,1,192,24,9,225,1,226,--,380,154,192,225,226,Algún campo sin dato,1,1c1e439e33cdcf10f085b38bdc77a352dc040873b9fc5b8c62de433a2c057565,26/06/2023 01:22:47,ESCANER
15040,"Huehuetenango",13,"Chiantla",2,2158,380,52,8,8,84,8,4,15,2,5,1,1,0,1,189,27,8,224,0,224,--,280,156,189,224,224,Algún campo sin dato,1,21cc268fc89ca90ef16cc6b17a6ac27353d9d69894b8686feca554fcfbf0ccf8,26/06/2023 02:23:37,ESCANER
15041,"Huehuetenango",13,"Chiantla",2,2158,380,60,7,3,91,13,4,13,0,5,0,1,1,0,198,20,10,228,0,228,--,380,152,198,228,228,Algún campo sin dato,1,c5d5d3ceb8e5a380d794b81b242844ca35dc5ab325b650aa8e9906dd9dabaedf,26/06/2023 00:57:51,ESCANER
15042,"Huehuetenango",13,"Chiantla",2,2158,380,41,4,2,68,13,3,14,3,14,1,0,0,0,163,23,8,194,0,194,--,380,186,163,194,194,Algún campo sin dato,1,9428af129d5b8203d42043d1ffc953f1d619e1ffe09e2d3808c16cfc6e028b72,26/06/2023 00:05:08,ESCANER
15043,"Huehuetenango",13,"Chiantla",2,2158,380,38,5,1,70,11,1,15,1,7,0,0,1,0,150,23,9,182,0,182,--,380,198,150,182,182,Algún campo sin dato,1,d1acf586e1cc7e9b2f7fc0ed0c8f95c84c4f03538103a936e371b8e60d8e3b0b,25/06/2023 23:09:22,ESCANER
15044,"Huehuetenango",13,"Chiantla",2,2158,380,43,8,4,60,13,2,8,3,20,0,0,0,1,162,19,4,185,0,185,--,380,195,162,185,185,Algún campo sin dato,1,d1a81832ae41e63ae0cf4e7bc8157e19e748375f9138a6a01ec1bdb62d014ccb,26/06/2023 02:15:02,ESCANER
15045,"Huehuetenango",13,"Chiantla",2,2158,380,38,6,1,69,5,7,10,0,10,0,0,1,0,147,29,10,186,0,186,--,380,194,147,186,186,Algún campo sin dato,1,18e0c2cf5b27f086f09bf2f04f941d20f88ae7222e4615a2023dda480cfd8dc9,26/06/2023 02:34:45,ESCANER
15046,"Huehuetenango",13,"Chiantla",2,2158,380,44,1,2,78,6,6,10,0,5,0,0,0,1,153,7,2,162,1,163,--,380,217,153,162,163,Algún campo sin dato,1,6b37dd4d77ed8093cafd7600f8dab0971c6543c17efc5f91e26b367560a6a528,26/06/2023 01:39:39,ESCANER
15047,"Huehuetenango",13,"Chiantla",2,2158,380,38,2,2,84,9,6,8,0,3,2,1,0,0,155,13,4,172,0,172,--,380,208,155,172,172,Algún campo sin dato,1,3fffe2e1d073e0547e99a46926ecb2a391dbec0dde93033eaf264b08bdfcf5df,25/06/2023 22:39:39,ESCANER
15048,"Huehuetenango",13,"Chiantla",2,2158,262,24,2,1,59,5,2,5,0,2,0,0,1,0,101,9,6,116,0,116,--,262,146,101,116,116,Algún campo sin dato,1,fd14ef90b62122184e37fa59839ad0d702d90b6748415b7708bf67e7204292e0,25/06/2023 21:47:20,ESCANER
