TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,33993,20959,61.6568

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VALOR,UNE,CABAL,VAMOS,VOS,VICTORIA,CAMBIO,MLP,PPN,PODEMOS,AZUL,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10070,"Totonicapán",8,"San Francisco El Alto",3,1303,380,6,13,24,98,38,1,2,1,4,4,3,0,1,195,20,17,232,0,232,0,380,148,195,232,232,,1,1f5feb67bdb1010b5c649344bc9fd11953ae7965fb0eb92a588da6cf80e5fa88,26/06/2023 00:13:04,ESCANER
10071,"Totonicapán",8,"San Francisco El Alto",3,1303,380,7,6,34,85,34,3,8,0,3,6,1,3,0,190,22,11,223,0,223,0,380,157,190,223,223,,1,c77ad32e3110ecb4ea9a0882a9d0ce16eaa548b0c155b687e41dca622ee9bd49,26/06/2023 00:05:09,ESCANER
10072,"Totonicapán",8,"San Francisco El Alto",3,1303,380,1,14,28,77,52,0,4,0,1,3,2,1,0,183,15,4,202,0,202,0,380,178,183,202,202,,1,2a77dda78891e0e05fb50d76ca775fa70bbefc378c1b1b873b685a91641c5612,25/06/2023 23:36:11,ESCANER
10073,"Totonicapán",8,"San Francisco El Alto",3,1303,380,5,8,25,89,42,2,3,1,4,2,7,0,0,188,6,5,199,0,199,0,380,181,188,199,199,,1,e94fdc53f05a8383ca19d640bbb8388fbaf76f1d8849ebe3ea8529e0075c8f0d,25/06/2023 22:57:41,ESCANER
10074,"Totonicapán",8,"San Francisco El Alto",3,1303,380,10,7,20,81,36,1,4,2,0,1,2,0,0,164,4,3,171,0,171,0,379,208,164,171,171,,1,e804abbd5a45ca15b6a244ce60a0dded5d6c7d88f84691563162743f6c95d2df,25/06/2023 22:06:10,ESCANER
10075,"Totonicapán",8,"San Francisco El Alto",3,1303,283,5,9,18,53,16,1,5,0,3,1,1,0,0,112,1,4,117,0,117,0,283,166,112,117,117,,1,aaf55818ef07198a346c162237b642f5983e3fe5dfb6c95109e7fbcd761cb2ed,25/06/2023 23:17:41,ESCANER
10076,"Totonicapán",8,"San Francisco El Alto",3,1303,283,1,8,9,51,20,0,0,0,0,1,3,0,0,93,4,2,99,0,99,0,283,184,93,99,99,,1,73a069023da7dc8483de6172659bb67c150cd55956bc9a07cde1d971d7f01258,25/06/2023 21:14:54,ESCANER
10077,"Totonicapán",8,"San Francisco El Alto",3,1304,380,17,34,73,20,62,5,2,2,10,7,10,4,0,246,16,10,272,0,272,0,380,108,246,272,272,,1,88b2b16ca5f5a1198a46266e812afdd3652133de9b1e0000f9f23221c11eb8b4,25/06/2023 23:54:19,ESCANER
10078,"Totonicapán",8,"San Francisco El Alto",3,1304,380,12,43,75,21,66,6,4,4,12,5,7,1,0,256,21,2,279,0,279,0,380,101,256,279,279,,1,968fb159911b772fff2dec7a2b64a5d1f1a1f85a9f5f5e4334a010b361894563,26/06/2023 00:52:04,ESCANER
10079,"Totonicapán",8,"San Francisco El Alto",3,1304,380,16,39,66,18,64,2,6,3,7,2,13,4,0,240,19,5,264,0,264,0,380,116,240,264,264,,1,e00df1c71c06d7bf17d6642688ab165ecf66ad804112d5e60ed3f565c373b984,26/06/2023 00:14:58,ESCANER
