TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
210,180,85.7142,178,84.7619,2,68908,39359,57.1181

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,PHG,UNE,PPN,AZUL,VOS,UR,CABAL,CAMBIO,U R N G - MAIZ,TODOS,FCN-NACION,VICTORIA,P A N,CREO,VIVA,UNIONISTA,ELEFANTE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2480,"Guatemala",1,"Chinautla",6,218,400,41,24,46,57,5,2,10,1,0,3,6,3,1,8,1,1,4,0,2,4,219,17,5,241,0,241,--,400,159,219,241,241,Algún campo sin dato,1,0957ae1d7fd2777fc94079948ed649a623b6b9f88acdbb3a9cfd5148509f345b,25/06/2023 23:26:31,ESCANER
2481,"Guatemala",1,"Chinautla",6,218,400,35,22,56,39,4,1,8,--,3,6,7,1,--,4,4,6,10,1,4,10,226,17,4,247,--,247,--,400,153,221,242,242,Sumas Asentadas sin cuadrar,1,0a964c208618e12f54b2a50d8a4329650323787e420a1b75c5f408ae5e20fed7,25/06/2023 22:33:50,ESCANER
2482,"Guatemala",1,"Chinautla",6,218,400,43,35,53,39,4,2,13,0,3,2,9,3,1,4,1,3,9,1,3,3,231,15,1,247,0,247,--,400,153,231,247,247,Algún campo sin dato,1,3d1cacc039bba4fa818860b91f564f0d2b64b45dfa3aebe509b28fa9c1b5ea9c,26/06/2023 01:30:39,ESCANER
2483,"Guatemala",1,"Chinautla",6,218,400,30,30,47,40,5,5,11,1,3,5,4,1,1,4,1,4,8,2,0,9,211,16,2,229,0,229,--,400,171,211,229,229,Algún campo sin dato,1,d648bb968bc7d6ddf0f4c5cce7a80a8046e230aa1219c39c6ec86a26f4b7ee6f,26/06/2023 02:12:39,ESCANER
2484,"Guatemala",1,"Chinautla",6,218,400,41,23,45,50,3,2,8,2,3,5,7,1,1,5,1,7,6,3,3,4,246,18,2,--,--,246,--,400,157,220,240,240,Sumas Asentadas sin cuadrar,1,bf2a9f426da92153e96e21617ae65e0715ce2b8fa8e1ea8e5a9334e13480aeb4,26/06/2023 01:18:47,ESCANER
2485,"Guatemala",1,"Chinautla",6,218,400,28,23,35,39,4,3,9,3,2,1,7,2,0,1,0,7,8,2,2,4,179,18,1,198,0,198,--,398,202,180,199,199,Sumas Asentadas sin cuadrar,1,6c9ea5632498c7238f4c93a76df88fa0a866892b759e554a4f88642721fd8134,26/06/2023 01:02:51,ESCANER
2486,"Guatemala",1,"Chinautla",6,218,400,31,30,34,45,10,1,8,3,1,3,7,1,1,2,3,1,5,0,5,5,196,26,1,223,0,223,--,399,176,196,223,223,Algún campo sin dato,1,992cffb536d4ca530e50a6974ccdd0f830ed27359dcdf6f4ffcdb5743c6f55d1,25/06/2023 23:48:51,ESCANER
2487,"Guatemala",1,"Chinautla",6,218,400,29,29,40,40,0,0,13,1,2,5,5,0,1,4,1,0,3,4,4,10,197,13,2,212,0,212,--,399,188,191,206,206,Sumas Asentadas sin cuadrar,1,5c5376866f21129301be0ef86ef7187d10acc11967867063ff5446fe126275d7,26/06/2023 01:48:34,ESCANER
2488,"Guatemala",1,"Chinautla",6,218,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2489,"Guatemala",1,"Chinautla",6,218,400,30,31,55,52,2,2,17,0,1,2,7,1,2,4,3,7,1,0,7,6,230,5,1,236,0,236,--,400,169,230,236,236,Algún campo sin dato,1,07f6402ddf5a41a414c7ce8d930fa3932bd27febabf80885cbce3e1a9d0ddc3f,26/06/2023 03:40:49,ESCANER
2490,"Guatemala",1,"Chinautla",6,218,400,51,32,55,54,1,1,16,0,3,3,5,1,0,3,0,0,2,1,3,7,238,4,0,242,0,242,--,397,155,238,242,242,Algún campo sin dato,1,6a6e455c2b6847d40e057a6b93fe3a69664fa1ec16b70dfdcbc5adbb062b9cfe,25/06/2023 23:42:43,ESCANER
2491,"Guatemala",1,"Chinautla",6,218,400,32,19,50,38,4,2,7,1,1,1,7,1,2,2,2,3,5,3,3,6,189,8,0,197,0,197,--,398,201,189,197,197,Algún campo sin dato,1,839471d5b562635f2fa43f902e085b5b619ebcc0d068f9dcb96acea3ad7a0967,26/06/2023 00:34:31,ESCANER
2492,"Guatemala",1,"Chinautla",6,218,266,24,18,23,32,1,0,5,0,0,2,4,0,0,5,0,0,4,2,3,7,130,5,0,135,0,135,--,266,131,130,135,135,Algún campo sin dato,1,ff73bddbc85a7aa36fffcd902b388b9f986497128efad15d751f2f20a8b9f57f,25/06/2023 22:30:01,ESCANER
2493,"Guatemala",1,"Chinautla",6,218,266,15,15,25,27,0,1,10,0,1,2,4,0,0,0,1,0,2,0,4,4,111,3,0,114,0,114,--,266,152,111,114,114,Algún campo sin dato,1,c507c429e7adeadc4e24ce4c8178039cab434ab37c191829e31d23d7070cbd2a,25/06/2023 21:44:01,ESCANER
2494,"Guatemala",1,"Chinautla",6,219,400,17,23,53,70,1,4,7,1,1,0,3,0,1,5,2,0,11,1,4,29,233,28,136,397,0,397,--,--,--,233,397,397,Algún campo sin dato,1,e7596e89b3b9b2429085096b2c119fbaa4c47aa71d5a75d0092a6c539af7a767,26/06/2023 02:17:03,ESCANER
