TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,36452,19514,53.5334

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,VALOR,MLP,VIVA,ELEFANTE,CAMBIO,UNE,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21805,"Izabal",18,"Los Amates",5,3379,400,48,101,3,3,7,0,3,61,0,226,22,4,252,0,252,--,400,148,226,252,252,Algún campo sin dato,1,8df722cfaf4a130ea630751d5407bf2ad3db43b5d5424b4a208d9ebf033e16ee,26/06/2023 01:49:54,ESCANER
21806,"Izabal",18,"Los Amates",5,3379,400,68,81,4,5,7,0,1,65,0,231,14,2,247,0,247,--,400,153,231,247,247,Algún campo sin dato,1,343aa79eb09a394dd57e898a95b31404551496fc0b295b5f113ea9b83cadf9e3,26/06/2023 00:56:44,ESCANER
21807,"Izabal",18,"Los Amates",5,3379,400,39,104,0,5,7,5,0,76,0,236,11,0,247,0,247,--,400,153,236,247,247,Algún campo sin dato,1,5fd0a2f6125400d1e5c6b11f33bc39df19e93c2b9581adece306c19d7f83e8b1,26/06/2023 01:38:00,ESCANER
21808,"Izabal",18,"Los Amates",5,3379,400,41,106,3,0,5,1,1,62,1,220,7,0,227,0,227,--,400,173,220,227,227,Algún campo sin dato,1,65a30779f7b12863136629a812c47d2124f922ab1454f57e0478f68dc01de87c,26/06/2023 01:27:24,ESCANER
21809,"Izabal",18,"Los Amates",5,3379,400,52,86,2,2,2,1,4,55,1,205,16,1,222,0,222,--,400,178,205,222,222,Algún campo sin dato,1,aa34ed068a04547fddb7a5a2ae59bec730bfc958d044f73e0d3ff2cffd993209,26/06/2023 00:22:17,ESCANER
21810,"Izabal",18,"Los Amates",5,3379,400,37,85,5,2,2,1,3,66,1,202,12,3,217,0,217,--,400,183,202,217,217,Algún campo sin dato,1,270a9b259b73d4b4deeb1b8bb95856b55e218ba713a8d55443194ee05bdbaa38,26/06/2023 00:48:12,ESCANER
21811,"Izabal",18,"Los Amates",5,3379,400,36,89,2,3,5,1,5,68,0,209,9,2,11,0,220,--,400,180,209,220,220,Sumas Asentadas sin cuadrar,1,11e1f9d0ab30d882d399eb6cac3bfdae1e991702548fec0d654e3c769bdc7831,25/06/2023 23:56:22,ESCANER
21812,"Izabal",18,"Los Amates",5,3379,400,39,91,1,2,7,2,6,56,2,206,11,0,217,0,217,--,400,183,206,217,217,Algún campo sin dato,1,68151252da7fcf93e5086ef8dce0a0cdcc00cf4787347efef24509535ee4d4eb,26/06/2023 01:21:48,ESCANER
21813,"Izabal",18,"Los Amates",5,3379,388,44,113,2,1,0,1,1,40,0,202,2,0,204,1,205,--,388,187,202,204,205,Algún campo sin dato,1,707de7631fc863d0f9bfe82b1c8b8f01bcd69e6b2fe0c38e63c7045ed46729ec,26/06/2023 01:32:54,ESCANER
21814,"Izabal",18,"Los Amates",5,3379,387,46,67,0,0,1,1,0,39,0,154,6,3,163,0,163,--,387,224,154,163,163,Algún campo sin dato,1,4663775df0a1e4edf6a0d93929caf1d34a49ec35a1c760c8c63d4e72d02d757f,26/06/2023 01:13:50,ESCANER
21815,"Izabal",18,"Los Amates",5,3380,400,69,75,1,1,0,0,0,79,0,225,14,5,244,0,244,--,400,156,225,244,244,Algún campo sin dato,1,b0e704fbe882a4f4b0da1ff7cd9ee6892d2e86700d1b10e9af43c662b2bf565b,26/06/2023 01:56:27,ESCANER
21816,"Izabal",18,"Los Amates",5,3380,400,50,85,1,0,3,0,1,85,0,225,8,4,237,0,237,--,400,163,225,237,237,Algún campo sin dato,1,8757c28f0070f49dfc5a55cbd5e156d82feff7f6b5a9a4c90830e1839e14d73a,26/06/2023 02:17:36,ESCANER
